project_id,fleet_id,site_id,vehicle_id,model,manufacturer,model_year,vehicle_type,vocation,vehicle_class_size,body_type,body_manufacturer,power,torque,drivetrain_type,main_energy_source_units,main_energy_source_capacity,range_units,nominal_total_range,charging_h2_connector_type,is_plug_in,is_hybrid,if_hybrid_range_from_main_energy_source,if_hybrid_range_from_secondary_energy_source,h2_pressure,ev_max_charge,fuel_cell_h2_acceptance_rate,fuel_on_site,fuel_public,is_operated_in_dac,expected_deployment_date,actual_deployment_date,deployment_end_date,cause_of_deployment_delay,brake_replacement_rates,tire_replacement_rates,num_drivers,electric_motor_type,electric_motor_model
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-07,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-08,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-09,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-10,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-11,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-12,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-13,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-DHE1,G16-ZNZE-02-DHE1-1,DHE-Forklift-14,ERP040VT,Yale,2020,Other,"Nonroad, Industrial/MH",Class 3,Other,Yale,Not Available,Not Available,Battery-electric,kWh,26.9,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-06-01 00:00:00,2020-06-01 00:00:00,2021-08-12 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-01,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
G16-ZNZE-02,G16-ZNZE-02-NFI1,G16-ZNZE-02-NFI1-1,NFI-Forklift-02,FC Series,Crown,2019,Other,"Nonroad, Industrial/MH",Class 3,Other,Crown,Not Available,Not Available,Battery-electric,kWh,27.5,,,J1772,True,False,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,true,false,False,2020-08-15 00:00:00,2020-08-15 00:00:00,2021-06-11 00:00:00,Not Applicable,Not Available,Not Available,1,Induction,Not Available
