#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1HTKJPVK8MH687294,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK1MH699559,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK8MH699560,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVKXMH699561,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH699740,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM5MH699741,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK3MH803612,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK5MH803613,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH803615,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM2MH814716,D,NA,N,2021,C67,,N,Y,CA,N
3HSDZAPR7NN653996,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDZAPR5NN653995,D,NA,N,2021,C78T,,N,Y,CA,N
1HTEDTANXNH237175,D,NA,N,2021,C67,,N,Y,CA,N
1HTEDTANXNH237645,D,NA,N,2021,C67,,N,Y,CA,N
1HTEDTAN1NH237646,D,NA,N,2021,C67,,N,Y,CA,N
1HTEDTAN3NH237647,D,NA,N,2021,C67,,N,Y,CA,N
3HAEDTAN2NL237648,D,NA,N,2021,C67,,N,Y,CA,N
3HAEDTAN9NL238263,D,NA,N,2021,C67,,N,Y,CA,N
3HAEHTAT8NL246793,D,NA,N,2021,C67,,N,Y,CA,N
3HAEHTATXNL246794,D,NA,N,2021,C67,,N,Y,CA,N
3HAEETAR7NL263615,D,NA,N,2021,C8S,,N,Y,CA,N
3HAEUMML5NL557286,D,NA,N,2021,C67,,N,Y,CA,N
3HSDZAPR5NN674345,D,NA,N,2021,C78T,,N,Y,CA,N
3HAEUMML0NL336971,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML6NL817534,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML1NL817537,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL817840,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML8NL817843,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMLXNL817844,D,NA,N,2021,C67,,N,Y,CA,N
3HSDZAPR6NN843420,D,NA,N,2021,C78T,,N,Y,CA,N
3HAEETAR0NL866292,D,NA,N,2021,C67,,N,Y,CA,N
3HAEHTAR4NL170915,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML6NL174019,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL200423,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL234166,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL253154,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML2NL254871,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML4NL254872,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML8NL254874,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMNXNL254876,D,NA,N,2021,C67,,N,Y,CA,N
3HAEVTAR1NL266591,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML6NL319981,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML8NL319982,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMM4NL330938,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML8NL368468,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML1NL381563,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML9NL381567,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML0NL381568,D,NA,N,2021,C67,,N,Y,CA,N
3HSDZAPR0NN385745,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDZAPR9NN423442,D,NA,N,2021,C78T,,N,Y,CA,N
1HTKTSWK7MH469830,D,NA,N,2021,C45,,N,Y,CA,N
3HAEUMML6NL472912,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML8NL520796,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML1NL555924,D,NA,N,2021,C67,,N,Y,CA,N
3HSDYAPN7NN556121,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDYAPN9NN556122,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDYAPNXNN557473,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDZAPR5NN557476,D,NA,N,2021,C78T,,N,Y,CA,N
3HSDZAPR1NN555708,D,NA,N,2021,C78T,,N,Y,CA,N
3HAEUMML7NL560206,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML0NL560211,D,NA,N,2021,C67,,N,Y,CA,N
3HAEETAR3NL560218,D,NA,N,2021,C8S,,N,Y,CA,N
3HAEETAR2NL561876,D,NA,N,2021,C8S,,N,Y,CA,N
3HAEETAR4NL561877,D,NA,N,2021,C8S,,N,Y,CA,N
3HAEUMML8NL561882,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMMLXNL561883,D,NA,N,2021,C67,,N,Y,CA,N
3HAEUMML1NL561884,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM2MH587656,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVK9MH597376,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK0MH597377,D,NA,N,2021,C45,,N,Y,CA,N
1HTKSSWK5MH419379,D,NA,N,2021,C45,,N,Y,CA,N
1HTKSSWK3MH419378,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH599568,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH599569,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH599570,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH599571,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH599572,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM1MH601109,D,NA,N,2021,C67,,N,Y,CA,N
1HTKJPVM1MH603429,D,NA,N,2021,C67,,N,Y,CA,N
3HTPAAPT0NN398653,D,NA,N,2021,C8S,,N,Y,CA,N
1HTKHPVK0MH603822,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVH0MH603825,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK7MH604109,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK3MH604110,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM3MH604111,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM8MH614407,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVMXMH614408,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM1MH614409,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM8MH614410,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM1MH614412,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM3MH614413,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVK4MH622244,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH622245,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH622246,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH622247,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK1MH622248,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH624717,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH624718,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH624719,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH624720,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH624721,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK2MH624722,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK4MH624723,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK6MH624724,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK8MH624725,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVKXMH624726,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH624727,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK8MH624728,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVKXMH624729,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH624730,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK1MH627972,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK3MH627973,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK5MH627974,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK7MH627975,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK9MH627976,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK4MH627979,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK0MH627980,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK2MH627981,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK4MH627982,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK6MH627983,D,NA,N,2021,C45,,N,Y,CA,N
1HTKJPVK0MH636064,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH641842,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK9MH648080,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVK0MH648081,D,NA,N,2021,C45,,N,Y,CA,N
1HTKHPVM0MH648082,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM2MH648083,D,NA,N,2021,C67,,N,Y,CA,N
1HTKHPVM8MH648086,D,NA,N,2021,C67,,N,Y,CA,N
