#VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1N6AF0KY6MN802211,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN802676,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN802743,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN802869,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN803164,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN804105,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN804315,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN804377,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN806212,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN808638,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY6MN808669,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN800192,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN800287,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN800306,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN801455,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN801925,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN802539,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN802556,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN802881,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN804081,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
1N6AF0KY7MN804372,G,NA  ,N,MY21,C2b3   ,,N,,CA,N
