VIN,Vehicle Fuel Type,Drivetrain Type,ZEP Certified?,Vehicle Model Year,Vehicle Classification,NZEV - All Electric Miles,Credit for ACC (Class 2b-3),Sold to Ultimate Purchaser?,State of Sale,Low Volume Exception?
1G9CG2CD0MP492180,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492181,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD6MP492183,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD8MP492184,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CDXMP492185,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD3MP492187,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD5MP492191,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD9MP492193,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD0MP492194,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492195,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD3MP492206,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD5MP492207,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD9MP492209,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD0MP492213,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492214,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD8MP492217,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CDXMP492218,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD1MP492219,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD8MP492220,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD3MP492223,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492201,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492228,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD8MP492198,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492192,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD6MP492233,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD1MP492222,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD5MP492174,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492175,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD9MP492176,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD0MP492177,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492179,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492182,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD1MP492186,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD5MP492188,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492189,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD3MP492190,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492196,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD6MP492197,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CDXMP492199,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492200,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD6MP492202,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD8MP492203,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CDXMP492204,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD1MP492205,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492208,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD5MP492210,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492211,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD9MP492212,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492215,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD6MP492216,EL,EV,N,2021,C45,NA,N,  ,,Y
1G9BG2CD8MP492018,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CDXMP492019,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9CG2CDXMP492221,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492023,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9CG2CD5MP492224,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD7MP492225,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD9MP492226,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD0MP492227,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492229,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD0MP492230,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD2MP492231,EL,EV,N,2021,C45,NA,N,,,Y
1G9CG2CD4MP492232,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD1MP492037,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD3MP492038,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD5MP492039,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD1MP492040,EL,EV,N,2021,C45,NA,N,Y,OH,Y
1G9BG2CD3MP492041,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD5MP492042,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD7MP492043,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492044,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD0MP492045,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD2MP492046,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD4MP492047,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD6MP492048,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD8MP492049,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD4MP492050,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD6MP492051,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD8MP492052,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CDXMP492053,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD1MP492054,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD3MP492055,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD5MP492056,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD7MP492057,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492058,EL,EV,N,2021,C45,NA,N,Y,CA,Y
1G9BG2CD0MP492059,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD7MP492060,EL,EV,N,2021,C45,NA,N,,,Y
1G9BG2CD9MP492061,EL,EV,N,2021,C45,NA,N,Y,CA,Y
